G57;NEW JUPITER Z - CW;2
X96;NEW JUPITER Z CW SE;2
0GN;NEW MIO GT;2
0Z6;NEW MIO M3 CW;2
1F7;NEW MIO M3 CW CUSTOM;2
0Z5;NEW MIO M3 SP;2
I01;NEW RX-KING;2
X52;NEW SCORPIO Z CW;2
0BJ;NEW VEGA ZR TROMOL;2
S63;NEW VIXION;2
1DY;NEW V-IXION ADV;2
1DZ;NEW V-IXION ADV GP;2
0JF;NEW V-IXION KS SE;2
0FQ;NEW V-IXION(KS);2
0FR;NEW V-IXION(NON KS);2
141;N-MAX;2
1FQ;NMAX  ABS;2
500;NOUVO;2
551;NOUVO;2
H88;NOUVO;2
498;NOUVO 5MX;2
689;NOUVO G;2
693;NOUVO G;2
H90;NOUVO G;2
692;NOUVO S;2
H89;NOUVO S;2
499;NOUVO Z;2
C05;NOUVO Z;2
K46;NOUVO Z;2
333;R Z R;2
0V2;R1;2
05B;R15;2
1M4;R15 CUSTOM;2
1DT;R15 GP MOVISTAR;2
1DU;R15 GP TECH 3;2
0VM;R25;2
142;R25 ABS;2
1M5;R25 CUSTOM;2
1DW;R25 GP MOVISTAR;2
1DX;R25 GP TECH 3;2
0V1;R6;2
503;RX - S;2
024;RX KING;2
660;RX KING SE;2
026;RX SPECIAL;2
025;RX Z;2
704;RXS S;2
490;SCORPIO;2
505;SCORPIO;2
518;SCORPIO;2
705;SCORPIO G;2
0ZQ;SCORPIO KL SE;2
A72;SCORPIO Z;2
D54;SCORPIO Z;2
K68;SCORPIO Z CW;2
0RM;SCORPIO-Z LMTEDITION;2
128;SIGMA;2
1Z7;SOUL GT 125 AKS SSS;2
0RQ;SOUL GT MUSCLE;2
507;SPECIAL EDITION;2
289;TIARA;2
0V0;TMAX;2
126;TOUCH;2
993;TZM;2
009;VEGA;2
J79;VEGA DB - SE;2
1K1;VEGA FORCE DB CW;2
1K0;VEGA FORCE DB SW;2
1JZ;VEGA FORCE DRUM;2
595;VEGA R;2
E16;VEGA R DB;2
F82;VEGA R DB NEW;2
743;VEGA R DISK;2
B96;VEGA R DISK CW;2
F65;VEGA R DISK NEW;2
B04;VEGA R DRUM;2
B39;VEGA R NEW;2
B05;VEGA R NEW GRAFFIC;2
G11;VEGA R T105ERD;2
B33;VEGA R TROMOL N.G;2
0L5;VEGA RR;2
0L6;VEGA RR-DB;2
V05;VEGA Z R NEW DB;2
P46;VEGA ZR;2
P47;VEGA ZR DB;2
V23;VEGA ZR NEW DB;2
B36;VEGA-R GRAFIK;2
J69;VIXION;2
V70;VIXION CUSTOMWITHACC;2
Q13;VIXION EXTREME;2
0JW;VIXION EXTRME 1 CSTM;2
X41;VIXION L E;2
0JX;V-IXION NEW KS CSTM;2
0JY;V-IXION NEW NONKSCTM;2
V22;VIXION SE;2
V45;VIXION X-TREME 1;2
0V3;VMAX;2
15M;WR250R;2
0HK;X - RIDE;2
0HM;X - RIDE ASE;2
0HL;X - RIDE SE;2
1NJ;XABRE;2
V30;XEON 125 CC;2
X44;XEON CARGLOSS;2
U15;XEON CW 125;2
0G7;XEON RC;2
0JN;XEON RC CUSTOM;2
0LC;XEON-RC MOTO GP LIV;2
330;Y 125 Z;2
131;YT 115;2
1ZE;AEROX 155 VVA;2
1ZF;AEROX 155 VVA R;2
1ZG;AEROX 155 VVA S;2
